Disease_UMLS,Disease_CUI,Symptom,Symptom_CUI
linfoma,C0024305,stanchezza - fatica,C0015672
linfoma,C0024305,affaticamento,C0015672
linfoma,C0024305,numerosi puntini rossi sulla pelle,C0040034
linfoma,C0024305,sanguinamento,C0019087
linfoma,C0024305,mal di gola,C0001824
linfoma,C0024305,suscettibilità alle infezioni,C0236171
cataratta,C0086543,sensibilità alla luce,C0525027
cataratta,,visione doppia,
cataratta,,alterata visione dei colori,
cataratta,C0086543,disturbi alla vista,C1956311
encefalite,C0014038,febbre,C0015967
encefalite,C0014038,sensibilità alla luce,C0085636
encefalite,C0014038,spasmi muscolari,C0151818
encefalite,C0014038,disturbi della coscienza,C0947927
encefalite,C0014038,mal di testa,C0018681
malaria,C0024530,mal di testa,C0018681
malaria,C0024530,nausea e sazietà,C0038002
malaria,C0024530,fegato ingrossato,C0019209
malaria,C0024530,ittero - pelle giallastra,C0022346
malaria,C0024530,nausea,C0027497
malaria,C0024530,vomito,C0042963
malaria,C0024530,diarrea,C0011991
malaria,C0024530,anemia - pallore,C0002878
malaria,C0024530,numerosi puntini rossi sulla pelle,C0040034
malaria,C0024530,"malessere generale, febbre, stanchezza, nausea e vomito",C0023530
malaria,C0024530,ipoglicemia,C0020615
malaria,C0024530,liquido nei polmoni,C0034063
malaria,C0024530,mani fredde,C0036974
malaria,C0024530,diminuzione delle urine,C0035078
malaria,C0024530,febbre,C0015967
malaria,C0024530,brividi,C0085593
pielonefrite,C0034186,nausea,C0027497
pielonefrite,C0034186,vomito,C0042963
pielonefrite,C0034186,incapacità nel deglutire,C0919671
pielonefrite,C0034186,mal di testa,C0018681
pielonefrite,C0034186,difficoltà nell'urinare,C0013428
pielonefrite,C0034186,dolore al petto,C0030193
pielonefrite,C0034186,mal di schiena,C0004604
pitiriasi rosea,C0032026,arrossamento cutaneo,C0040252
pitiriasi rosea,C0032026,vescicole,C0013595
pitiriasi rosea,C0032026,alterazioni dell'udito,C0039128
pitiriasi rosea,C0032026,dolore al pene,C0033860
pitiriasi rosea,C0032026,macchie bianche,C0085657
sindrome di gilbert,,disturbi della digestione,
sindrome di gilbert,,dolore addominale,
sindrome di gilbert,,perdita di peso,
sindrome di gilbert,,difficoltà di concentrazione,
sindrome di gilbert,,ansia,
sindrome di gilbert,,depressione,
sindrome di gilbert,,affaticamento,
sindrome di gilbert,,perdita dell’appetito,
sindrome di gilbert,C0017551,anemia - pallore,C0019054
cancro alla prostata,C0600139,dolore e bruciore mentre si urina,C0042023
cancro alla prostata,C0600139,difficoltà nell'urinare,C0013428
cancro alla prostata,C0600139,urine frequenti,C0028734
cancro alla prostata,C0600139,incontinenza,C0021167
cancro alla prostata,,mal di schiena,
cancro alla prostata,,eiaculazione dolorosa,
cancro alla prostata,C0600139,urine frequenti,C0028734
cancro alla prostata,C0600139,sangue nelle urine,C0018965
cancro alla prostata,C0600139,disfunzione erettile,C0149707
cancro alla prostata,C0600139,stanchezza - fatica,C0015672
cancro alla prostata,C0600139,anemia - pallore,C0002871
epatite,C0019158,dolore alla pressione,C0234233
epatite,C0019158,diarrea,C0011991
epatite,C0019158,dolori articolari,C0003862
epatite,C0019158,macchie a rilievo sulla pelle,C0015230
epatite,C0019158,stanchezza - fatica,C0015672
epatite,C0019158,perdita di appetito,C0003123
epatite,C0019158,nausea,C0027497
agranulocitosi,,sanguinamento delle gengive,
agranulocitosi,C0001824,febbre,C0015967
agranulocitosi,C0001824,dolore durante la deglutizione,C0031157
agranulocitosi,C0001824,stomatite,C0038363
vertigine posizionale parossistica benigna,C0155502,sensibilità alla luce,C0028738
vertigine posizionale parossistica benigna,C0155502,tachicardia,C0042571
vertigine posizionale parossistica benigna,C0155502,nausea,C0027497
vertigine posizionale parossistica benigna,C0155502,vertigini,C1739421
vertigine posizionale parossistica benigna,C0155502,disturbi alla vista,C0240595
leucemia linfatica cronica,C0023434,febbre,C0015967
leucemia linfatica cronica,C0023434,perdita di peso,C2363736
leucemia linfatica cronica,C0023434,suscettibilità alle infezioni,C0236171
leucemia linfatica cronica,C0023434,numerosi puntini rossi sulla pelle,C0040034
leucemia linfatica cronica,C0023434,anemia - pallore,C0002871
leucemia linfatica cronica,C0023434,mal di gola,C0001824
leucemia linfatica cronica,C0023434,dolore alle ossa,C0026470
leucemia linfatica cronica,C0023434,dolore alle braccia,C0023518
leucemia linfatica cronica,C0023434,fegato ingrossato,C0019209
leucemia linfatica cronica,C0023434,orticaria,C0042109
leucemia linfatica cronica,C0023434,lividi a chiazze,C0034150
leucemia linfatica cronica,C0023434,ingrossamento dei linfonodi,C0497156
leucemia linfatica cronica,C0023434,stanchezza - fatica,C0015672
leucemia linfatica cronica,C0023434,sudore notturno,C0028081
leucemia linfatica cronica,C0023434,nausea e sazietà,C0038002
leucemia linfatica cronica,C0023434,prurito,C0033774
leucemia linfatica cronica,C0023434,herpes,C0854330
leucemia linfatica cronica,C0023434,sensazione di bruciore,C0026946
insufficienza aortica,C0003504,"dolore al torace, mancanza di ossigeno",C0002962
insufficienza aortica,C0003504,palpitazioni,C0030252
insufficienza aortica,C0003504,difficoltà nel respirare,C0013404
insufficienza aortica,C0003504,agitazione,C3887611
insufficienza aortica,C0003504,attacco d'asma,C0038218
insufficienza aortica,C0003504,tachicardia,C0023212
emicrania,C0149931,visione di lampi,C0236018
emicrania,C0149931,sensibilità alla luce,C0085636
emicrania,C0149931,perdita di appetito,C0003123
emicrania,C0149931,mal di testa,C0018681
emicrania,C0149931,dolore agli occhi,C0085636
emicrania,C0149931,vomito,C0042963
emicrania,C0149931,nausea,C0027497
emicrania,C0149931,vertigini,C0012833
emicrania,C0149931,difficoltà nel leggere,C0003537
attacco ischemico transitorio,,paralisi del volto,
attacco ischemico transitorio,,difficoltà nel movimento,
attacco ischemico transitorio,,perdita della sensibilità,
attacco ischemico transitorio,C0007787,disturbi alla vista,C0547030
attacco ischemico transitorio,C0007787,difficoltà nel parlare,C0852418
leucemia mieloide cronica,C0023473,dolore alle braccia,C0023518
leucemia mieloide cronica,C0023473,nausea e sazietà,C0038002
leucemia mieloide cronica,C0023473,dolore alle braccia,C0005699
leucemia mieloide cronica,C0023473,anemia - pallore ,C0023518
leucemia mieloide cronica,C0023473,affaticamento,C0015672
leucemia mieloide cronica,C0023473,stanchezza - fatica,C0015672
leucemia mieloide cronica,C0023473,sudore notturno,C0028081
leucemia mieloide cronica,C0023473,febbre,C0920063
bronchiectasia,C0006267,tosse,C0010200
bronchiectasia,,difficoltà nel respirare,
bronchiectasia,,muco di colore giallo,
bronchiectasia,C0006267,suscettibilità alle infezioni,C0024110
lupus eritematoso sistemico,C0024141,febbre,C0015967
lupus eritematoso sistemico,C0024141,perdita di peso,C2363736
lupus eritematoso sistemico,C0024141,ingrossamento dei linfonodi,C0497156
lupus eritematoso sistemico,C0024141,brividi,C0027121
lupus eritematoso sistemico,C0024141,dolori articolari,C0162323
lupus eritematoso sistemico,C0024141,perdita dei capelli,C0002170
lupus eritematoso sistemico,C0024141,sensibilità alla luce,C0085636
lupus eritematoso sistemico,C0024141,miocardite,C0027059
lupus eritematoso sistemico,C0024141,dolore alle braccia,C0031046
lupus eritematoso sistemico,C0024141,urine torbide,C0024143
lupus eritematoso sistemico,C0024141,depressione,C0011570
lupus eritematoso sistemico,C0024141,anemia,C0002880
lupus eritematoso sistemico,C0024141,numerosi puntini rossi sulla pelle,C0040034
lupus eritematoso sistemico,C0024141,"malessere generale, febbre, stanchezza, nausea e vomito",C0023530
lupus eritematoso sistemico,C0024141,febbre,C0015967
lupus eritematoso sistemico,C0024141,affaticamento,C0015672
lupus eritematoso sistemico,C0024141,perdita di peso,C2363736
lupus eritematoso sistemico,C0024141,dolori articolari,C0003862
lupus eritematoso sistemico,C0024141,atrite,C0003864
lupus eritematoso sistemico,C0024141,sensibilità alla luce,C0085636
lupus eritematoso sistemico,C0024141,macchie a rilievo sulla pelle,C0221201
lupus eritematoso sistemico,C0024141,capillari visibili,C0235499
lupus eritematoso sistemico,C0024141,perdita dei capelli,C0852968
lupus eritematoso sistemico,C0024141,psicosi,C0033975
lupus eritematoso sistemico,C0024141,mal di testa,C0018681
lupus eritematoso sistemico,C0024141,urine schiumose,C0033687
lupus eritematoso sistemico,C0024141,diarrea,C0011991
lupus eritematoso sistemico,C0024141,vescicole sulle labbra,C0007971
lupus eritematoso sistemico,C0024141,difficoltà nel deglutire,C0014868
lupus eritematoso sistemico,C0024141,epatite,C0019158
lupus eritematoso sistemico,C0024141,congiuntivite,C0009763
tireotossicosi,C0040127,tachicardia,C0039239
tireotossicosi,C0040127,rossore,C0016382
tireotossicosi,C0040127,nausea,C0027497
tireotossicosi,C0040127,vomito,C0042963
tireotossicosi,C0040127,diarrea,C0011991
tireotossicosi,C0040127,tremore,C0040822
tireotossicosi,C0040127,paralisi,C4082299
tireotossicosi,C0040127,disidratazione,C0011175
edema cerebrale,,perdita di coscienza,
edema cerebrale,,febbre,
edema cerebrale,,difficoltà nel movimento,
edema cerebrale,,difficoltà nel parlare,
edema cerebrale,,amnesia,
edema cerebrale,C1527311,mal di testa,C0018681
edema cerebrale,,dolore al collo,
edema cerebrale,C1527311,nausea,C0027497
edema cerebrale,,tachicardia,
edema cerebrale,C1527311,vertigini,C0012833
emorroidi,C0019112,dolore anale,C0281778
emorroidi,C0019112,anemia - pallore,C0002871
emorroidi,C0019112,ragadi,C0016167
emorroidi,C0019112,arrossamento cutaneo,C2363872
emorroidi,C0019112,prurito anale,C0033775
emorroidi,C0019112,prolasso rettale,C0034888
emorroidi,C0019112,cancro del colon-retto,C0009402
ulcera ventricolare,C0038358,pancia gonfia,C1291077
ulcera ventricolare,C0038358,nausea,C0027497
ulcera ventricolare,C0038358,perdita di appetito,C0003123
ulcera ventricolare,C0038358,perdita di peso,C2363736
carenza di alfa 1-antitripsina,C0221757,tosse,C0010200
carenza di alfa 1-antitripsina,C0221757,difficoltà nel respirare,C0013404
carenza di alfa 1-antitripsina,C0221757,ostruzione respiratoria,C0001883
carenza di alfa 1-antitripsina,C0221757,enfisema polmonare,C0034067
carenza di alfa 1-antitripsina,C0221757,ittero - pelle giallastra,C0022354
carenza di alfa 1-antitripsina,,attacco d'asma,
carenza di alfa 1-antitripsina,,debolezza,
carenza di alfa 1-antitripsina,,gonfiore addominale,
carenza di alfa 1-antitripsina,C0221757,affaticamento,C0438237
carenza di alfa 1-antitripsina,C0221757,fegato ingrossato,C0019209
sindrome di cushing,C0010481,viso arrossato,C0332601
sindrome di cushing,C0010481,aumento di peso,C0311277
sindrome di cushing,C0010481,debolezza nelle braccia,C0947912
sindrome di cushing,C0010481,pressione alta,C0020538
sindrome di cushing,C0010481,affaticamento,C0020621
sindrome di cushing,C0010481,sonnolenza,C0020488
sindrome di cushing,C0010481,sudori freddi,C0546817
sindrome di cushing,C0010481,aumento dei peli,C0019572
sindrome di cushing,C0010481,osteoporosi,C0029456
carcinoma ovarico,C0029925,difficoltà nell'urinare,C0478132
carcinoma ovarico,C0029925,pancia gonfia,C1291077
carcinoma ovarico,C0029925,nausea e sazietà,C3714614
carcinoma ovarico,C0029925,accumulo di liquido nell'addome,C0003962
carcinoma ovarico,C0029925,dolori addominali,C0013390
carcinoma ovarico,C0029925,perdita di peso,C2363736
carcinoma ovarico,C0029925,stanchezza - fatica,C0015672
carcinoma ovarico,C0029925,flatulenza,C0016205
anemia aplastica,C0002874,anemia - pallore,C0030312
anemia aplastica,C0002874,febbre,C0027947
anemia aplastica,C0002874,lividi a chiazze,C0030232
anemia aplastica,C0002874,difficoltà nel respirare,C0013404
anemia aplastica,C0002874,sangue dal naso,C0014591
anemia aplastica,C0002874,numerosi puntini rossi sulla pelle,C0040034
anemia aplastica,C0002874,dolore allo stomaco,C2609241
anemia aplastica,C0002874,gonfiore alla gengive,C0017574
anemia aplastica,C0002874,polmonite,C0032285
anemia aplastica,C0002874,eruzioni cutanee,C0243026
anemia aplastica,C0002874,ematoma,C0018944
anemia aplastica,C0002874,mal di gola,C0001824
anemia aplastica,C0002874,ulcere nella bocca,C0149745
anemia aplastica,C0002874,gonfiore alle tonsille,C0040425
anemia aplastica,C0002874,dolore alla pressione,C0007642
anemia aplastica,C0002874,macchie bianche,C0023531
anemia aplastica,C0002874,cirrosi epatica,C0023890
anemia aplastica,C0002874,dolori muscolari e articolari,C0034069
gonorrea,C0018081,dolore e bruciore mentre si urina,C0041976
gonorrea,C0018081,dolori durante i rapporti sessuali,C0007860
gonorrea,C0018081,dolore pelvico,C0004769
gonorrea,C0018081,prurito,C0033774
gonorrea,C0018081,dolore anale,C0033246
gonorrea,C0018081,foruncoli,C0042384
gonorrea,C0018081,atrite,C0003864
tachicardia da rientro nodale,,dolore al petto,
tachicardia da rientro nodale,,ansia,
tachicardia da rientro nodale,C0039232,"vertigini, capogiri e confusione",C0020649
tachicardia da rientro nodale,C0039232,tachicardia,C0039239
varicella,C0008049,macchie a rilievo sulla pelle,C0015230
varicella,,vescicole,
varicella,C0008049,febbre,C0015967
varicella,C0008049,mal di testa,C0018681
varicella,C0008049,prurito,C0033774
broncopolmonite,,brividi,
broncopolmonite,,sudorazione,
broncopolmonite,,dolore al petto,
broncopolmonite,,fiato corto,
broncopolmonite,C0006285,tosse,C0010200
broncopolmonite,C0006285,febbre,C0015967
sindrome dell'arteria spinale anteriore,C0221069,dolore al petto,C0030193
sindrome dell'arteria spinale anteriore,C0221069,sensibilità alla luce,C0028738
sindrome dell'arteria spinale anteriore,C0221069,disturbi alla vista,C0547030
sindrome dell'arteria spinale anteriore,C0221069,ronzio nelle orecchie,C0040264
sindrome dell'arteria spinale anteriore,C0221069,disturbi della sensibilità della pelle,C0012766
sindrome dell'arteria spinale anteriore,C0221069,nausea,C0027497
sindrome dell'arteria spinale anteriore,C0221069,tendenza ad inciampare,C0007758
sindrome miastenica di lambert-eaton,,dolore alle gambe,
sindrome miastenica di lambert-eaton,,dolore alle braccia,
sindrome miastenica di lambert-eaton,,secchezza alla bocca,
sindrome miastenica di lambert-eaton,,debolezza,
sindrome miastenica di lambert-eaton,C0022972,abbassamento delle palpebre,C0033377
sindrome miastenica di lambert-eaton,C0022972,costipazione,C0009806
fibromialgia,C0016053,eccessiva sudorazione,C0020458
fibromialgia,C0016053,tremore,C0040822
fibromialgia,,difficoltà di concentrazione,
fibromialgia,,dolore anale,
fibromialgia,,mal di testa,
fibromialgia,,disturbi del sonno,
fibromialgia,,stanchezza,
fibromialgia,,dolori muscolari,
fibromialgia,C0016053,sensazione di un corpo estraneo nella gola,C0423600
catatonia,C0007398,stupore,C0085628
catatonia,C0007398,perdita sensibilità al dolore,C0233612
catatonia,C0007398,mutismo,C0026884
catatonia,C0007398,ripetizione di parole o frasi,C0013528
sindrome da inappropriata secrezione,C0021141,perdita di appetito,C0003123
sindrome da inappropriata secrezione,C0021141,crampi muscolari,C0026821
sindrome da inappropriata secrezione,C0021141,disturbi della personalità,C0240735
sindrome da inappropriata secrezione,C0021141,stupore,C0085628
sindrome da inappropriata secrezione,C0021141,malessere generale,C0020625
sindrome da inappropriata secrezione,C0021141,nausea,C0027497
sindrome da inappropriata secrezione,C0021141,vomito,C0042963
sindrome da inappropriata secrezione,C0021141,mal di testa,C0018681
sindrome da inappropriata secrezione,C0021141,perdita di peso,C0232462
sindrome da inappropriata secrezione,C0021141,irritabilità,C0022107
malattia di von Willebrand ,C0042974,sangue dal naso,C0014591
malattia di von Willebrand ,C0042974,dolori articolari,C0040440
malattia di von Willebrand ,,lividi,
malattia di von Willebrand ,,sanguinamento,
malattia di von Willebrand ,C0042974,dolori addominali,C0025323
malattia di von Willebrand ,C0042974,difficoltà di movimento,C0018924
avvelenamento da piombo,,sangue nelle urine,
avvelenamento da piombo,,convulsioni,
avvelenamento da piombo,,vomito,
avvelenamento da piombo,,nausea,
avvelenamento da piombo,C0023176,mal di testa,C0544864
avvelenamento da piombo,C0023176,spasmi e crampi,C0152025
avvelenamento da piombo,C0023176,movimenti anomali di mani e braccia,C0085584
tumore della cervice,,dolori durante i rapporti sessuali,
tumore della cervice,C0302592,perdita di sangue uterino,C0025874
tumore della cervice,C0302592,dolore pelvico,C0016330
tumore della cervice,C0302592,dolore al petto,C0030193
insufficienza epatica,C1306571,alito cattivo,C0239571
insufficienza epatica,C1306571,tremore,C0040822
insufficienza epatica,C1306571,coma,C0009421
insufficienza epatica,C1306571,"vertigini, capogiri e confusione",C0020649
insufficienza epatica,C1306571,palpitazioni,C0020578
insufficienza epatica,C1306571,prurito,C0033774
difterite,C0012546,ingrossamento dei linfonodi,C0012556
difterite,C0012546,febbre,C0015967
difterite,C0012546,vomito,C0042963
difterite,C0012546,tosse,C0010200
difterite,C0012546,miocardite,C0027059
difterite,C0012546,fitte,C0032541
difterite,C0012546,polmonite,C0032285
acromegalia,C0001206,ingrossamento della lingua,C0009677
acromegalia,C0001206,mal di testa,C0018681
acromegalia,C0001206,pressione alta,C0020538
acromegalia,C0001206,eccessiva sudorazione,C0020458
acromegalia,C0001206,aumento della pelosità,C0020555
acromegalia,C0001206,dolori articolari,C0003862
acromegalia,C0001206,perdita della sensibilità,C0020580
acromegalia,C0001206,disturbi alla vista,C0547030
sindrome da anticorpi antifosfolipidi,C0085278,perdita della vista,C0456909
sindrome da anticorpi antifosfolipidi,C0085278,perdita dell'udito,C0494562
sindrome da anticorpi antifosfolipidi,C0085278,convulsioni,C0036572
sindrome da anticorpi antifosfolipidi,C0085278,emicrania,C0149931
sindrome da anticorpi antifosfolipidi,C0085278,dolore pelvico,C0238457
sindrome da anticorpi antifosfolipidi,C0085278,urine schiumose,C0033687
sindrome da anticorpi antifosfolipidi,C0085278,pressione alta,C0020538
sindrome da anticorpi antifosfolipidi,C0085278,numerosi puntini rossi sulla pelle,C0040034
sindrome da anticorpi antifosfolipidi,C0085278,anemia - pallore,C0019054
sindrome da anticorpi antifosfolipidi,C0085278,emorragia,C0019080
sindrome da anticorpi antifosfolipidi,C0085278,formicolio,C0034734
sindrome da anticorpi antifosfolipidi,C0085278,lividi,C0085642
sindrome da anticorpi antifosfolipidi,C0085278,dolore al petto,C0027051
sindrome da anticorpi antifosfolipidi,C0085278,embolie,C0013922
sindrome da anticorpi antifosfolipidi,C0085278,tachicardia,C0038454
sindrome da anticorpi antifosfolipidi,C0085278,aborto spontaneo,C0000809
iperaldosteronismo,,spasmi e crampi,
iperaldosteronismo,,paralisi,
iperaldosteronismo,,mal di testa,
iperaldosteronismo,C0020428,pressione alta,C0020538
iperaldosteronismo,C0020428,affaticamento,C0020621
iperaldosteronismo,C0020428,vomito,C0220983
atrite,,dolore alle ginocchia,
atrite,,gonfiore alle gambe,
atrite,C0003864,trauma,C0043251
carcinoma tiroideo,C0007115,difficoltà nel deglutire,C0011168
carcinoma tiroideo,C0007115,difficoltà nel respirare,C0013404
carcinoma tiroideo,C0007115,tosse,C0010200
trombosi venosa cerebrale,C0151945,dolore alla pressione,C0234233
trombosi venosa cerebrale,C0151945,disturbi alla vista,C0547030
trombosi venosa cerebrale,C0151945,dolore al petto,C0030193
trombosi venosa cerebrale,C0151945,edema - accumulo di liquido,C0013604
trombosi venosa cerebrale,C0151945,attacco epilettico,C0014544
trombosi venosa cerebrale,C0151945,mal di testa,C0018681
trombosi venosa cerebrale,C0151945,nausea,C0027497
trombosi venosa cerebrale,C0151945,febbre,C0015967
trombosi venosa cerebrale,C0151945,dolore alle braccia,C0023518
trombosi venosa cerebrale,C0151945,eventi focali,C0751495
trombosi venosa cerebrale,C0151945,paralisi facciale,C0271355
trombosi venosa cerebrale,C0151945,riduzione della vista,C0030353
nervo laringeo ricorrente,,difficoltà respiratorie,
nervo laringeo ricorrente,,perdita della voce,
nervo laringeo ricorrente,,indebolimento della voce,
nervo laringeo ricorrente,C0542142,vampate di calore,C0013404
nervo laringeo ricorrente,C0542142,senso di soffocamento,C0038450
carcinoma a cellule renali,C0007134,sangue nelle urine,C0018965
carcinoma a cellule renali,C0007134,dolore all'inguine,C0042341
carcinoma a cellule renali,C0007134,stitichezza,C0020437
carcinoma a cellule renali,C0007134,pressione alta,C0020538
carcinoma a cellule renali,C0007134,mal di testa,C1868945
carcinoma a cellule renali,C0007134,dolore al fianco,C0016199
carcinoma a cellule renali,C0007134,perdita di peso,C2363736
carcinoma a cellule renali,C0007134,stanchezza - fatica,C0015672
carcinoma a cellule renali,C0007134,febbre,C0015967
carcinoma a cellule renali,C0007134,anemia - pallore,C0002871
calcoli urinari,C0451641,vomito,C0042963
calcoli urinari,C0451641,incapacità nel deglutire,C0919671
calcoli urinari,C0451641,sangue nelle urine,C0239937
calcoli urinari,C0451641,coliche,C0152169
calcoli urinari,C0451641,nausea,C0027497
influenza,C0021400,tosse,C0010200
influenza,C0021400,febbre,C0015967
influenza,C0021400,difficoltà nel deglutire,C0011168
influenza,C0021400,mal di testa,C0018681
influenza,C0021400,brividi,C0085593
gastroenterite,C0520764,flautolenza,C1963891
gastroenterite,C0520764,febbre,C0031154
gastroenterite,C0520764,intossicazione alimentare,C0016479
gastroenterite,C0520764,secchezza della bocca,C0006057
gastroenterite,C0520764,spasmi,C0039614
gastroenterite,C0520764,colite,C1257843
sindrome di reye,C0035400,vomito,C0042963
sindrome di reye,C0035400,ipoglicemia,C0020615
sindrome di reye,C0035400,movimenti anomali di mani e braccia,C0085584
sindrome di reye,C0035400,vomito,C0042963
sindrome di reye,C0035400,sonnolenza,C0013144
sindrome di reye,C0035400,torpore,C0023380
sindrome di reye,C0035400,ittero - pelle giallastra,C0086565
porfiria,C0032708,perdita forza muscolare,C0235704
porfiria,C0032708,spasmi e crampi,C0152025
porfiria,C0032708,perdita della sensibilità,C0852415
porfiria,C0032708,dolore addominale,C0000737
porfiria,C0032708,nausea,C0027497
porfiria,C0032708,convulsioni,C0026821
porfiria,C0032708,paralisi e paresi,C1697844
porfiria,C0032708,sintomi psichiatrici,C0852553
porfiria,C0032708,tachicardia,C0039239
porfiria,C0032708,pressione alta,C0020538
paralisi facciale,C0376175,abbassamento di un angolo della bocca,C0221328
paralisi facciale,,difficoltà espressive,
paralisi facciale,C0376175,occhio sbarrato,C0224176
sindrome di kawasaki,C0026691,stomatite,C0038362
sindrome di kawasaki,C0026691,eritema palmare,C0014745
sindrome di kawasaki,C0026691,febbre,C0015967
sindrome di kawasaki,C0026691,ingrossamento dei linfonodi,C0497156
sindrome di kawasaki,C0026691,macchie a rilievo sulla pelle,C0015230
sindrome di kawasaki,C0026691,intolleranza alla luce,C0014034
sindrome di kawasaki,C0026691,puntini rossi sulla lingua,C0241262
sindrome di kawasaki,C0026691,congiuntivite,C0009763
nefropatia diabetica,,perdita di peso,
nefropatia diabetica,,suscettibilità alle infezioni,
nefropatia diabetica,,schiuma nelle urine,
nefropatia diabetica,,gonfiore alle gambe,
nefropatia diabetica,,gonfiore al viso,
nefropatia diabetica,C0011881,albuminurie,C0001925
nefropatia diabetica,C0011881,dolori muscolari,C0020473
scarlatina,C0036285,difficoltà nel deglutire,C0011168
scarlatina,C0036285,tosse,C0010200
scarlatina,C0036285,vomito,C0042963
scarlatina,C0036285,mal di testa,C0018681
scarlatina,C0036285,faringite,C0031350
scarlatina,C0036285,dolore durante la deglutizione,C0031157
scarlatina,C0036285,intolleranza alla luce,C0014034
scarlatina,C0036285,puntini rossi sulla lingua,C0241262
scarlatina,C0036285,macchie a rilievo sulla pelle,C0015230
scarlatina,C0036285,lividi a chiazze,C0030232
scarlatina,C0036285,febbre,C0015967
scarlatina,C0036285,nausea,C0027497
scarlatina,C0036285,gonfiore alle tonsille,C0040425
gastrite,C0017152,dolore addominale,C0000737
gastrite,C0017152,nausea e sazietà,C3714614
gastrite,C0017152,nausea,C0027497
gastrite,C0017152,vomito,C0042963
gastrite,C0017152,perdita di peso,C0232462
pneumotorace iperteso,C0264558,tachicardia,C0039239
pneumotorace iperteso,C0264558,difficoltà nel respirare,C0013404
pneumotorace iperteso,C0264558,"vertigini, capogiri e confusione",C0020649
pneumotorace iperteso,C0264558,cianosi - colorito bluastro-violaceo di pelle,C0010520
pneumotorace iperteso,C0264558,sonnolenza,C0242184
colesteatoma,C0008373,dolore alle orecchie,C0013456
colesteatoma,C0008373,perdita dell'udito,C0018777
colesteatoma,C0008373,mal di testa,C0018681
colesteatoma,C0008373,febbre,C0015967
pericardite,,sudorazione,
pericardite,,febbre,
pericardite,,singhiozzo,
pericardite,C0031046,"dolore al torace, mancanza di ossigeno",C0002962
pericardite,C0031046,aumento del numero di linfociti,C0024282
idrocefalo normoteso ,C0020258,difficoltà nel movimento,C0575081
idrocefalo normoteso ,C0020258,incontinenza,C0042024
idrocefalo normoteso ,C0020258,disturbi dell'equilibrio,C1112468
carcinoma esofageo,C0152018,difficoltà nel deglutire,C0011168
carcinoma esofageo,C0152018,perdita di peso,C2363736
carcinoma esofageo,C0152018,dolore al petto,C0030193
carcinoma esofageo,C0152018,feci scure,C0025222
carcinoma esofageo,C0152018,sapore di sangue in bocca,C0018926
carcinoma esofageo,C0152018,rigurgito,C2004489
carcinoma esofageo,C0152018,vomito,C0042963
carcinoma esofageo,C0152018,perdita di saliva,C0267072
carcinoma esofageo,C0152018,mal di schiena,C0004604
carcinoma esofageo,C0152018,perdita di appetito,C0003123
carcinoma esofageo,C0152018,raucedine,C0019825
carcinoma esofageo,C0152018,difficoltà nel deglutire,C0011168
carcinoma esofageo,C0152018,"dolore al torace, mancanza di ossigeno",C0002962
carcinoma esofageo,C0152018,eccessiva salivazione,C0037036
carcinoma epatocellulare,C2239176,dolore alla pressione,C0234233
carcinoma epatocellulare,C2239176,perdita di peso,C0013911
carcinoma epatocellulare,C2239176,accumulo di liquido nell'addome,C0003962
carcinoma epatocellulare,C2239176,febbre,C0015967
carcinoma epatocellulare,C2239176,mal di testa,C1868945
trombocitemia essenziale,C0040028,disturbi alla vista,C0547030
trombocitemia essenziale,C0040028,mal di testa,C0018681
trombocitemia essenziale,C0040028,vertigini,C0012833
trombocitemia essenziale,C0040028,ronzio nelle orecchie,C0040264
trombocitemia essenziale,C0040028,sudore notturno,C0028081
trombocitemia essenziale,C0040028,sangue dal naso,C0014591
trombocitemia essenziale,C0040028,sanguinamento dalle gengive,C0017565
trombocitemia essenziale,C0040028,ematoma,C0018944
trombocitemia essenziale,C0040028,perdita della sensibilità,C0852415
trombocitemia essenziale,C0040028,dolore lungo le vene,C0014804
trombocitemia essenziale,C0040028,vertigini,C0012833
trombocitemia essenziale,C0040028,mal di testa,C0018681
trombocitemia essenziale,C0040028,disturbi alla vista,C0547030
trombocitemia essenziale,C0040028,tendenza al sanguinamento,C0019087
trombocitemia essenziale,C0040028,nausea e sazietà,C0038002
trombocitemia essenziale,C0040028,dolori articolari,C0740394
trombocitemia essenziale,C0040028,dolore alle braccia,C0023518
sindrome dell'apnea notturna delle vie aeree superiori,C0751761,respirazione della bocca,C0026635
sindrome dell'apnea notturna delle vie aeree superiori,C0751761,perdita dell'udito,C0018777
sindrome dell'apnea notturna delle vie aeree superiori,C0751761,russamento,C0037384
sindrome dell'apnea notturna delle vie aeree superiori,C0751761,tosse,C0010200
bronchite cronica,,brividi,
bronchite cronica,,febbre,
bronchite cronica,,fiato corto,
bronchite cronica,,muco di colore giallo,
bronchite cronica,,dolore nel deglutire,
bronchite cronica,,tosse,
bronchite cronica,,difficoltà nel respirare,
bronchite cronica,C0008677,rumori respiratori,C0004339
tumore cerebrale maligno,C0153633,mal di testa,C0018681
tumore cerebrale maligno,C0153633,nausea,C0027497
tumore cerebrale maligno,C0153633,vomito,C0042963
tumore cerebrale maligno,C0153633,convulsioni,C0036572
tumore cerebrale maligno,C0153633,riduzione della vista,C0030353
sindrome da furto della succlavia,C0038531,vertigini,C0012833
sindrome da furto della succlavia,C0038531,perdita di coscienza,C0041657
